title,winery,variety,designation,province,region_1,country,points,price,taster_name,description
Red Tail Ridge 2011 Barrel Fermented RTR Vineyard Chardonnay (Finger Lakes),Red Tail Ridge,Chardonnay,Barrel Fermented RTR Vineyard,New York,Finger Lakes,US,87,$15.0,Anna Lee C. Iijima,"Aromatic of sweet cream, ripe apple and buttered popcorn, this luxurious Chardonnay counters richness of flavor with brisk acidity and impeccably balanced alcohol. It's irresistibly luscious but elegant."
Apolloni 2015 L Cuvée Chardonnay (Willamette Valley),Apolloni,Chardonnay,L Cuvée,Oregon,Willamette Valley,US,89,$28.0,Paul Gregutt,"The cuvée is barrel fermented, for roundness rather than strong oak flavors. Spicy apple and melon fruit comes with the lightest possible kiss of toast."
J Vineyards & Winery 2008 Pinot Noir (Russian River Valley),J Vineyards & Winery,Pinot Noir,,California,Russian River Valley,US,87,$35.0,,"Pretty and polished, an elegant, lighter style Pinot Noir to drink now with rich pork, lamb and beef dishes or grilled salmon. It's silky and satiny, with pleasant wild strawberry, cherry, red currant, licorice, cola and cedar flavors."
Toad Hollow 2010 Goldie's Vineyard Pinot Noir (Russian River Valley),Toad Hollow,Pinot Noir,Goldie's Vineyard,California,Russian River Valley,US,86,$17.0,,"A fairly lean Pinot, this lacks voluptuousness, but it's dry and crisp, with fine cherry, cranberry, tobacco and pepper flavors. Give it some airing and drink now."
N. Kendall Wines 2013 Riesling (Finger Lakes),N. Kendall Wines,Riesling,,New York,Finger Lakes,US,91,$35.0,Anna Lee C. Iijima,"Dusty mineral and pollen notes lend earthy complexity to tart lemon, tangerine and sugar cookie notes on the nose of this feather-light Riesling. It's gossamer in texture yet full of juicy sweet pink-grapefruit flavor. High-toned acidity drives a cutting finish marked by a pleasantly bitter ring of lime pith and hazelnut skins."
Hazlitt 1852 Vineyards 2011 Riesling (Finger Lakes),Hazlitt 1852 Vineyards,Riesling,,New York,Finger Lakes,US,89,$12.0,Anna Lee C. Iijima,"Intensely tropical on the nose and palate, this off-dry Riesling shines with notes of juicy melon, papaya and peach candy, with a hint of white, waxy flower for extra flair. Brisk acidity keeps all that fruity sweetness in check, leading to a sleek, steely finish."
Gamache 2014 Estate Grown Riesling (Columbia Valley (WA)),Gamache,Riesling,Estate Grown,Washington,Columbia Valley (WA),US,86,$15.0,Sean P. Sullivan,"Pear, almond and toast aromas lead to dry, elegant fruit and lees flavors. It's a uniquely styled offering of the variety."
Coelho 2014 Apreciação Estate Vineyard Chardonnay (Willamette Valley),Coelho,Chardonnay,Apreciação Estate Vineyard,Oregon,Willamette Valley,US,87,$35.0,Paul Gregutt,"There's a touch (17%) of new oak here, which adds flavors of caramel and vanilla to the rather tart and simple fruit. It falls into the generic yellow/green apple style, with hints of arugula."
Brigadoon 2014 Lylee Pinot Noir (Willamette Valley),Brigadoon,Pinot Noir,Lylee,Oregon,Willamette Valley,US,88,$23.0,Paul Gregutt,"The first release annually from the estate vineyard, this is a solid effort, seemingly infused with scents and flavors of pine needle, pine tar, earth and bark. The fruit is in the background, and leans toward cranberry and brambly blackberry."
Hourglass 2010 Cabernet Sauvignon (Napa Valley),Hourglass,Cabernet Sauvignon,,California,Napa Valley,US,91,$155.0,,"High alcohol is giving this 100% Cabernet some inherent instability that warrants against extended aging. However, if you drink it soon, you'll find a vastly rich, opulent wine, with blackberry jam, mocha and toasty oak flavors whose tannins reflect Napa's best. A fabulous steak, perfectly charred and prepared, will make you drain the bottle."
Résonance 2014 Résonance Vineyard Pinot Noir,Résonance,Pinot Noir,Résonance Vineyard,Oregon,Willamette Valley,US,94,$65.0,Paul Gregutt,"This exceptional vineyard, more than 35-years-old, brings a wealth of subtle details to a wine that has both grace and power. There's truffle, earth, mocha, plum, spice, coffee and on and on it goes, all well integrated already. Experience would suggest that wines from this vineyard, previously made for Sineann, are exceptionally ageworthy. Drink now if you must, or cellar and drink from 2022 to 2030."
Columbia Crest 2007 Grand Estates Chardonnay (Columbia Valley (WA)),Columbia Crest,Chardonnay,Grand Estates,Washington,Columbia Valley (WA),US,86,$11.0,Paul Gregutt,"As comfortable as an old shoe, the Grand Estates Chardonnay from Columbia Crest delivers broad, open flavors of buttered fruit – almost like biting into a slice of apple pie, crust and all. Hard to argue with it, all 160,000 cases strong."
Red Newt Cellars 2013 Semi-Dry Riesling (Finger Lakes),Red Newt Cellars,Riesling,Semi-Dry,New York,Finger Lakes,US,88,$15.0,Anna Lee C. Iijima,"Fresh green sage and tarragon notes lend an herbaceous freshness to this elegant off-dry Riesling. It's dancingly delicate on the palate, but sunny yellow cherry and tangerine flavors are bright and concentrated."
Chasing Venus 2013 Sauvignon Blanc (Russian River Valley),Chasing Venus,Sauvignon Blanc,,California,Russian River Valley,US,85,$16.0,Virginie Boone,"Ripe sweet tropical pineapple and guava mark this wine as does a sway of wild grass, the wine otherwise perfectly crisp and clean."
B Cellars 2015 Blend 27 Red (Napa Valley),B Cellars,Bordeaux-style Red Blend,Blend 27,California,Napa Valley,US,90,$79.0,Virginie Boone,"Merlot makes up 40% of this blend, with 30% Cabernet Sauvignon, 24% Petit Verdot and 6% Cabernet Franc as well. Smoky meaty characteristics ride a rounded, smoothly textured and full-bodied explosion of baked blackberry and cassis, the tannins chalky."
Columbia Crest 2015 Grand Estates Unoaked Chardonnay (Columbia Valley (WA)),Columbia Crest,Chardonnay,Grand Estates Unoaked,Washington,Columbia Valley (WA),US,86,$12.0,Sean P. Sullivan,Light aromas of apple and pear lead to broad dry flavors. It delivers easy-drinking appeal.
Hazlitt 1852 Vineyards 2008 Cabernet Franc (Finger Lakes),Hazlitt 1852 Vineyards,Cabernet Franc,,New York,Finger Lakes,US,84,$22.0,Anna Lee C. Iijima,"Whispers of tobacco leaf and cherry cola on the nose combine with a palate full of ripe black cherries on Hazlitt's easygoing, everyday Cabernet Franc. Soft tannins accented by woody notes of bramble and dried herbs make for a smooth, earthy finish."
Château Bianca 2013 Gewurztraminer (Willamette Valley),Château Bianca,Gewürztraminer,,Oregon,Willamette Valley,US,86,$15.0,Paul Gregutt,"Floral and lightly soapy, this is clean and simple, with bare bones varietal character. Drink it chilled within the first couple of years after release."
Blackbird Vineyards 2011 Contrarian Red (Napa Valley),Blackbird Vineyards,Bordeaux-style Red Blend,Contrarian,California,Napa Valley,US,92,$125.0,,"Sweet cherry, red licorice, violet, cocoa and new oak flavors make this wine drinkable now despite firm tannins. Cabernet Sauvignon's role is relatively muted, with Cab Franc taking a starring role, and Merlot also a strong component of the blend. The window of drinkability extends at least through 2019."
Titus 2006 Zinfandel (Napa Valley),Titus,Zinfandel,,California,Napa Valley,US,93,$27.0,,"A beautiful Zinfandel, softly tannic and lush, and showing how Napa Valley dominates the variety when it comes to balance and elegance. The ultra-refined tannins frame flavors of berry jam, currants, mocha, licorice and pepper. This is really a superior Zinfandel."
Hunnicutt 2011 Chardonnay (Napa Valley),Hunnicutt,Chardonnay,,California,Napa Valley,US,89,$45.0,,"A rich, ripe Chardonnay, made to appeal to the popular style. Shows tons of pineapple, peach, green apple, buttered toast, cream and honey flavors, balanced with crisp acidity."
Roco 2011 Private Stash #9 Pinot Noir,Roco,Pinot Noir,Private Stash #9,Oregon,Willamette Valley,US,91,$70.0,Paul Gregutt,"Burgundian in every way, this deceptively light (in color, alcohol and impact) wine rewards your attention with its finesse and complexity. Rhubarb, pomegranate, peppermint, earth and savory herbs are all highlights, and the length is equally impressive. It's low in alcohol, but high in aging potential."
Lamoreaux Landing 2007 Estate Bottled Reserve Chardonnay (Finger Lakes),Lamoreaux Landing,Chardonnay,Estate Bottled Reserve,New York,Finger Lakes,US,86,$20.0,Susan Kostrzewa,"The delicate nose on this reserve Chard offers citrus and flowers with a touch of nutty spice. On the palate, it's a straightforward white with elements of lemon citrus, grapefruit and hazelnut. An easy-drinking Chardonnay with class."
Standing Stone 2012 Riesling (Finger Lakes),Standing Stone,Riesling,,New York,Finger Lakes,US,87,$14.0,Anna Lee C. Iijima,"Exuberant floral notes lend a perfumy touch to fresh apple and pear aromas on this dry, medium-bodied wine. The palate is ripe with concentrated yellow cherry and plum flavors anchored with a puckering line of lime acidity."
Pope Valley Winery 2012 Estate Reserve Cabernet Sauvignon (Napa Valley),Pope Valley Winery,Cabernet Sauvignon,Estate Reserve,California,Napa Valley,US,90,$68.0,Virginie Boone,"Thick in decadent tannin accents and integrated oak, this wine also offers high-toned cassis and cranberry, with a touch of cedar lurking in the shadows. It finishes in a wash of leather and black pepper."
Omero 2012 Chardonnay (Willamette Valley),Omero,Chardonnay,,Oregon,Willamette Valley,US,91,$38.0,Paul Gregutt,"Ripe flavors suggest vanilla banana custard, along with sweet apple and smooth caramel. Some time spent in French oak brings up a finish with highlights of toasted nuts."
Lionheart 2006 Cabernet Sauvignon (Napa Valley),Lionheart,Cabernet Sauvignon,,California,Napa Valley,US,90,$55.0,,"Here's a smooth, polished and rewarding Cabernet Sauvignon. It shows the structure and finesse you expect from Napa Valley, and is not one of those modern fruit bombs despite rich flavors of blackberries, currants and cassis. Good now and through 2010, at least."
Woodinville Wine Cellars 2013 Indomitable Red (Columbia Valley (WA)),Woodinville Wine Cellars,Bordeaux-style Red Blend,Indomitable,Washington,Columbia Valley (WA),US,90,$50.0,Sean P. Sullivan,"The winery's flagship offering, this wine is a blend of Cabernet Sauvignon (62%), Cabernet Franc (25%) and Malbec. It opens with high-toned aromas of herbs and dark coffee that are followed by plush fruit flavors that taper toward the finish."
Anthony Road 2006 No Oak Chardonnay (Finger Lakes),Anthony Road,Chardonnay,No Oak,New York,Finger Lakes,US,83,$12.0,Susan Kostrzewa,"A subtle nose of butter and spice leads this wine whose flavors are varietally correct but not terribly inspired. The fruit is balanced and round but the finish slightly watery. Not a bad everyday sip, but needs complexity."
The Ghost in the Machine 2011 Riesling (Columbia Valley (WA)),The Ghost in the Machine,Riesling,,Washington,Columbia Valley (WA),US,88,$7.0,Paul Gregutt,"How do you make a Riesling this good and sell it for seven bucks? Juicy and fruity, it's absolutely loaded with citrus and stone fruit flavors, but offers supporting acidity, good length, and a touch of minerality."
Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Lamoreaux Landing,Riesling,Red Oak Vineyard,New York,Finger Lakes,US,87,$20.0,Anna Lee C. Iijima,"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021."
Merry Edwards 2012 Sauvignon Blanc (Russian River Valley),Merry Edwards,Sauvignon Blanc,,California,Russian River Valley,US,88,$32.0,,"High-toned gooseberry, pear, papaya and fig flavors mark this dry, but creamy Sauvignon Blanc. It's rich with fruit, yet dry on the finish with brisk acidity."
Siduri 2011 Pinot Noir (Willamette Valley),Siduri,Pinot Noir,,Oregon,Willamette Valley,US,85,$22.0,Paul Gregutt,"Winemaker Adam Lee notes that only two Oregon Pinots were made in 2011, as all fruit was declassified. Indeed, this is a thin, peppery wine, with highlights of orange peel and grapefruit, and just a short slice of red berry fruit."
Robert Weil 2020 Kirsch,Robert Weil,Kirsch,,New York,,US,97,$153.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
D.R. Stephens 2014 Estate Cabernet Sauvignon (Napa Valley),D.R. Stephens,Cabernet Sauvignon,Estate,California,Napa Valley,US,93,$85.0,Virginie Boone,"Fleshy, dense and bright with cassis and vanilla notes, this 100% varietal estate wine is lovely and elegantly restrained, showing compact oak and firm tannin. Raspberry, tobacco and cedar round out the nuanced flavors that open over time."
Stottle 2008 Barbera (Columbia Valley (WA)),Stottle,Barbera,,Washington,Columbia Valley (WA),US,89,$26.0,Paul Gregutt,"Solidly varietal flavors of strawberry and Bing cherry fruit anchor this well-made, 100% Barbera. The wine has both depth and polish, with some varietal tartness running through a medium length finish. It makes a good case for Barbera's potential in Washington state."
Dutton Estate 2010 Dutton Palms Vineyard Dutton Ranch Chardonnay (Russian River Valley),Dutton Estate,Chardonnay,Dutton Palms Vineyard Dutton Ranch,California,Russian River Valley,US,94,$40.0,,"The vineyard is in the coolest part of the Green Valley of the Russian River Valley. The wine, which is totally dry, is marked by brilliant acidity and long hangtime flavors of oranges, Meyer lemons and kiwi fruit, enriched by barrel fermentation and aging."
McGregor 2010 Black Russian Red (Finger Lakes),McGregor,Red Blend,Black Russian,New York,Finger Lakes,US,87,$55.0,Anna Lee C. Iijima,"Whiffs of ripe black cherries, vanilla and spice, along with delicate hints of soil and barnyard, mark this unusual blend of Saperavi and Sereksiya grapes. Tart black-fruit flavors accented with swathes of fresh herbs are a bit lean on the palate, but the acidity is gentle. It's dry and easy drinking in style with smooth, gentle tannins."
Lynmar 2010 Monastery Chardonnay (Russian River Valley),Lynmar,Chardonnay,Monastery,California,Russian River Valley,US,94,$70.0,,"Lots of toasty new oak marks this Chardonnay, as well as bright, citrusy acidity. It's young, vibrant and energetic, and undoubtedly complex. Beginning with flavors of Meyer lemons, apricots and limes, it evolves in the glass with flavors of minerals, white flowers and honey. This should last six years or so."
Brogan 2007 Buena Prierra Vineyard Helio Doro Block Pinot Noir (Russian River Valley),Brogan,Pinot Noir,Buena Prierra Vineyard Helio Doro Block,California,Russian River Valley,US,95,$90.0,,"So dry, so crisply acidic, so silky in the mouth, and so rich in flavor. This is a truly distinctive Pinot Noir. It shows the variety's elusive personality, now rich in cherries and currants, withdrawing into minerals and herbs. Yet the final impression is of fine, silky decadence. Should develop in fascinating directions over the next 6–8 years."
Damiani 2006 Barrel Select Cabernet Sauvignon (Finger Lakes),Damiani,Cabernet Sauvignon,Barrel Select,New York,Finger Lakes,US,86,$35.0,Susan Kostrzewa,"This wine has the kind of beefy, muscular character that one expects in a Cab, with its earthy berry and leathery spice nose, and a layering of tobacco smoke, black pepper and rich berry on the palate. Decent tannins and minerality add to the weight. A good wine with ageable appeal."
Dr. Konstantin Frank 2016 Dry Rosé of Pinot Noir (Finger Lakes),Dr. Konstantin Frank,Pinot Noir,Dry Rosé of,New York,Finger Lakes,US,87,$15.0,Anna Lee C. Iijima,Ripe luscious aromas of fleshy red plum and cherries turn a bit more demure on the palate of this Pinot Noir rosé. It's a full bodied wine with yielding acidity and pleasant heft on the palate. A touch of minerality lends elegance to the finish.
Arbor Crest 2006 Sauvignon Blanc (Columbia Valley (WA)),Arbor Crest,Sauvignon Blanc,,Washington,Columbia Valley (WA),US,88,$11.0,Paul Gregutt,"This is Bacchus vineyard fruit, as per normal – these vines are something like 35 years old. It's all stainless-steel fermented, aged on the lees and finished at 13% alcohol. Fruit flavors of peach and pineapple fill the mouth with round, lightly spicy flavors. It's ripe but not sweet, tart but not too citrusy. Good balance and texture through the finish."
Troll Bridge 2010 Password Red (Napa Valley),Troll Bridge,Red Blend,Password,California,Napa Valley,US,85,$75.0,Virginie Boone,"Herbal and excessive in wood tannins, this has strong elements of jalapeño and pepper amidst a full-bodied expression of black plum and chocolate."
Fulkerson 2010 Dry Riesling (Finger Lakes),Fulkerson,Riesling,Dry,New York,Finger Lakes,US,88,$13.0,Anna Lee C. Iijima,"Zesty aromas of fresh lemon and tangerine peel add vibrancy to this brisk, dry Riesling. It's elegant and fruity, and it offers loads of crisp green-apple and pear flavors that are accented by dusty minerality. A hint of lime-skin astringency surfaces on the finish."
Kenwood 2010 Pinot Gris (Russian River Valley),Kenwood,Pinot Gris,,California,Russian River Valley,US,86,$16.0,,"Clean and vibrant in the mouth, with zesty acidity and brisk flavors of tangerines, Meyer lemons, honey and vanilla. Nice as a cocktail sipper to get the evening started."
J. Bookwalter 2013 Protagonist Cabernet Sauvignon (Columbia Valley (WA)),J. Bookwalter,Cabernet Sauvignon,Protagonist,Washington,Columbia Valley (WA),US,90,$60.0,Sean P. Sullivan,"Cabernet Sauvignon makes up 95% of this wine, with the balance Syrah. It seems reductive out of the gate, making it a challenge to get at the black-cherry aromas. The dark fruit, fig and herb flavors are full in feel, seeming slightly dried out and backed by surprisingly soft tannins for the variety."
Billsboro 2014 Sawmill Creek Vineyards Cabernet-Syrah (Finger Lakes),Billsboro,Cabernet-Syrah,Sawmill Creek Vineyards,New York,Finger Lakes,US,89,$28.0,Anna Lee C. Iijima,Savory slightly rustic tones of forest floor and bramble lend complexity to this elegant blend of Cabernet Sauvignon and Syrah. Peppery spice and dried herb flavors meld into tart red cherry and plum on the palate. It's rich in body yet balanced neatly with a taut frame of acidity and fine persistent tannins. Drink now through 2021.
Dr. Franzl Lang 2004 Kirsch,Dr. Franzl Lang,Kirsch,,France,N A,US,210,$287.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Frank Family 2011 Zinfandel (Napa Valley),Frank Family,Zinfandel,,California,Napa Valley,US,85,$37.0,,"This is a good Zin, with raspberry, red currant and licorice flavors. Minty green notes alongside bright fruit lend a slightly unripe or uneven feel. Drink up."
Burgess 2004 Cabernet Sauvignon (Napa Valley),Burgess,Cabernet Sauvignon,,California,Napa Valley,US,86,$30.0,,"Simple, easy and balanced, this crowd-pleasing Cab will satisfy for its wealth of ripe fruit and oak flavors. Floods the mouth with cassis, licorice and melted milk chocolate, wrapped in smooth, gentle tannins."
Pine Ridge 2010 FORTIS Cabernet Sauvignon (Napa Valley),Pine Ridge,Cabernet Sauvignon,FORTIS,California,Napa Valley,US,94,$150.0,,"If you're looking for classic Napa Cabernet, this utterly delicious bottling is right there. Blended with some Petit Verdot and Merlot, it's a selection of the winery's extensive acreage across the Stags Leap, Rutherford, Carneros and Oakville appellations, showcasing the synergy of blending. The wine is dry, full-bodied, firm in tannins and extraordinarily lush, with blackberry, black currant, chocolate, plum, toasty oak and spice flavors. It's so good now thay you can drink it, but it holds the inherent balance to age for up to 15 years."
Novelty Hill 2005 Columbia Valley Merlot (Columbia Valley (WA)),Novelty Hill,Merlot,Columbia Valley,Washington,Columbia Valley (WA),US,90,$22.0,Paul Gregutt,"If Washington “owns” Merlot as a category in the U.S. (not that anyone cares at the moment), this confirms it. You get ripe, sweet, tangy red berry fruit, fresh acids, ripe tannins and toasty oak; there may not be a better value in the country. The way the oak is used is magnificent and adds layer after layer to the extended finish."
Maryhill 2010 Syrah (Columbia Valley (WA)),Maryhill,Syrah,,Washington,Columbia Valley (WA),US,83,$17.0,Paul Gregutt,"Thin to the verge of being empty of fruit and flavor, this shows no varietal character whatsoever. Green, leafy, herbal and earthy flavors abound."
River Road 2014 Reserve Pinot Noir (Russian River Valley),River Road,Pinot Noir,Reserve,California,Russian River Valley,US,87,$19.0,Virginie Boone,"This is a thick, concentrated wine, full bodied in its toasty oak and bursts of cherry-vanilla. Oaky and soft, it possesses a funk of earthiness."
Heron Hill 2012 Reserve Morris Vineyard Pinot Blanc (Finger Lakes),Heron Hill,Pinot Blanc,Reserve Morris Vineyard,New York,Finger Lakes,US,86,$18.0,Anna Lee C. Iijima,"Hints of spring ramps and earth blow off with aeration to reveal pretty floral and lemon aromas on this off-dry, single-vineyard Pinot Blanc. The palate is a bit demure in fruit concentration, but brisk lemon-lime acidity shines through the richly textured palate."
Trisaetum 2014 Estates Reserve Dry Riesling (Willamette Valley),Trisaetum,Riesling,Estates Reserve Dry,Oregon,Willamette Valley,US,94,$38.0,Paul Gregutt,"Trisaetum produces both a dry and an off-dry cuvée from each of its three estate vineyards, as well as two versions of an Estates Reserve. Richer and bigger overall than the individual cuvées, this dry bottling is smooth and round, with a palate-pleasing blend of citrus flesh and peel, notably orange. There's tangerine and spice as well, and the wine continues bright and long through a most engaging finish."
Cairdeas 2011 Consonance Red (Columbia Valley (WA)),Cairdeas,Bordeaux-style Red Blend,Consonance,Washington,Columbia Valley (WA),US,86,$34.0,Paul Gregutt,"This Bordeaux-style blend is bone dry and scented strongly with dried leaves, earth and herbs. The lightly-ripened fruit suggests pomegranate and rhubarb."
Paraduxx 2011 C Blend Red (Napa Valley),Paraduxx,Red Blend,C Blend,California,Napa Valley,US,90,$52.0,Virginie Boone,"This holds 60% Cabernet Sauvignon, 39% Zinfandel and 1% Petit Verdot. It satisfies in dusty dried cranberry and chocolate components, offering all-around balance with a shot of brawn, the latter most likely from the Cab's birthplace on Howell Mountain."
Matrix 2013 Estate Petite Sirah (Russian River Valley),Matrix,Petite Sirah,Estate,California,Russian River Valley,US,88,$34.0,Virginie Boone,"There's a lot to like in this thickly ripe wine, so dark purple in color as to be almost paint. Lipsmacking black and blue berries ride a wave of smoky tannin, chocolate and power, the acidity moderate."
Kendall-Jackson 2003 Stature Red (Napa Valley),Kendall-Jackson,Bordeaux-style Red Blend,Stature,California,Napa Valley,US,95,$95.0,,"Stature is K-J's top Cabernet-based Bordeaux blend, and can come from any of the winery's vineyards. The '03 hails from Atlas Peak, Mount Veeder and Knights Valley. The wine is immaculate and impeccable, with impressive black currant, cedar, pencil lead and smoky vanilla aromas and flavors that finish with a great deal of complexity and interest. So balanced, so lush, it just dazzles. Drink now through 2012 or thereabouts. Winery only."
Treleaven 2007 Late Harvest Vignoles (Finger Lakes),Treleaven,Vignoles,Late Harvest,New York,Finger Lakes,US,87,$23.0,Susan Kostrzewa,"Impressive and elegant, with flowers and zippy citrus, pineapple and melon on the nose and refreshing waves of lemon, lime and a touch of tropical fruit to round it out on the palate. Creamy on the tongue but balanced, with a touch of orange peel on the finish."
Stags' Leap Winery 1997 Cabernet Sauvignon (Napa Valley),Stags' Leap Winery,Cabernet Sauvignon,,California,Napa Valley,US,94,$35.0,,"Structured and built for the long haul, the densely packed aromatics hint at the power within. Blackberry, earth, fruitcake and cinnamon are all there, and the palate delivers a similar mix with added coffee, cocoa and licorice elements. Great texture and weight, and a lengthy finish with dry, even tannins. Best if cellared four to six years, and will keep for ages."
Fox Run 2010 Blanc de Blancs Chardonnay (Finger Lakes),Fox Run,Chardonnay,Blanc de Blancs,New York,Finger Lakes,US,85,$30.0,Anna Lee C. Iijima,"Savory notes of pressed apple and golden toast accent this bristling, bright sparkling Chardonnay. On the palate, thick, dense mouth-filling foam carries flavors of zesty lemon and pear speckled with savory herbs."
Napa Angel by Montes 2008 Cabernet Sauvignon (Napa Valley),Napa Angel by Montes,Cabernet Sauvignon,,California,Napa Valley,US,90,$56.0,,"Rich and ripe, this has liberally oaked flavors of blackberry jam, black currant, dark chocolate and anise. It shows Napa Valley pedigree, but it's tannic now, with mouth-numbing astringency. Try holding this until 2016, then give it a decanting."
Anthony Nappa 2013 Enzo Riesling (Finger Lakes),Anthony Nappa,Riesling,Enzo,New York,Finger Lakes,US,90,$50.0,Anna Lee C. Iijima,"Named after the winemaker's newborn son, Enzo is a bold unabashedly unique take on Finger Lakes Riesling in the hands of a Long Island producer. Made from grapes frozen on the vine and fermented via indigenous yeast in French oak, it's intensely spicy, wafting of caramel and candied orange rinds. The palate is unctuously honeyed but dusted by layers of earth and mineral. It's a far departure from a classic ice wine yet intriguingly complex and impeccably balanced."
Woodinville Wine Cellars 2007 Syrah (Columbia Valley (WA)),Woodinville Wine Cellars,Syrah,,Washington,Columbia Valley (WA),US,87,$30.0,Paul Gregutt,"Tart, juic, and peppery, with blackberry and boysenberry fruit. Though rather herbal and tannic, it displays good balance and moderate concentration."
Twenty Bench 2013 Chardonnay (Napa Valley),Twenty Bench,Chardonnay,,California,Napa Valley,US,86,$18.0,Virginie Boone,"There's a world of lemon chiffon and vanilla crème brûlée in this wine, both aromatically and in taste. Medium weight and well-balanced, it delivers a hit of tart lemon on the finish."
Lucie 2014 Dutton Ranch Chardonnay (Russian River Valley),Lucie,Chardonnay,Dutton Ranch,California,Russian River Valley,US,93,$50.0,Virginie Boone,"An unusually heady, floral exploration of the variety, this is intense in oak and youthfully coy. Crisp, it has an intriguing undercurrent of graham cracker and toast that invites amongst the baked apple and tree-ripened pear, finishing with length and complexity."
Retro 2009 Petite Sirah (Napa Valley),Retro,Petite Sirah,,California,Napa Valley,US,93,$32.0,,"Retro makes one of the best, most consistent Petite Sirahs in California. Even though they used to source their fruit from Howell Mountain and this bottling now is from Pope Valley and Calistoga, it still shows the same qualities of complex interest based on impeccable winemaking. It's an amazing wine, dry, full-bodied and tannic, with a complex range of berries, currants, herbs and white pepper. Truly a Petite Sirah for Cabernet lovers. Drink now–2020."
Inspire Moore 2012 Lust Pinot Noir (Finger Lakes),Inspire Moore,Pinot Noir,Lust,New York,Finger Lakes,US,88,$26.0,Anna Lee C. Iijima,"Ripe, ruddy cassis and blackberry are threaded with woody tones of briar and tobacco in this lush Pinot Noir. It's rich and silky on the palate, but marked by pert acidity and a long, velveteen finish."
Rutherford Hill 2012 Barrel Select Red (Napa Valley),Rutherford Hill,Red Blend,Barrel Select,California,Napa Valley,US,88,$35.0,Virginie Boone,"Sanguine, this Merlot-dominant blend is juicy with well-toned structure and length. Smaller percentages of Syrah and Malbec provide succulence and softness, while also offering a density of black cherry and berry, finished in dark chocolate."
Marimar Estate 2012 La Masía Don Miguel Vineyard Chardonnay (Russian River Valley),Marimar Estate,Chardonnay,La Masía Don Miguel Vineyard,California,Russian River Valley,US,90,$35.0,Virginie Boone,"Estate-grown from a 30-acre plot planted to three different Chardonnay clones, this wine is robust and hearty in wood, white peach and papaya. With ample acidity, it remains balanced and mouthfilling, with an edginess finished off by a tart lemon flavor."
Cinco 2011 Chardonnnay,Cinco,Chardonnnay,,New York,N A,US,177,$400.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Three Rivers 2010 Bacchus Vineyard Riesling (Columbia Valley (WA)),Three Rivers,Riesling,Bacchus Vineyard,Washington,Columbia Valley (WA),US,88,$15.0,Paul Gregutt,"Off-dry, with flavors of fresh pear drizzled with honey. It's a charming Riesling, fruity and gently sweet, though with enough backing acid to keep it food-friendly."
Bing Livehaanger 2008 Riesling Rioja,Bing Livehaanger,Riesling Rioja,,New York,,US,96,$303.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
B.R. Cohn 2007 Pinot Noir (Russian River Valley),B.R. Cohn,Pinot Noir,,California,Russian River Valley,US,90,$40.0,,"Sonoma Cabernet specialist Cohn turns his attention to Pinot, with good results. The wine is dry, silky and interesting, showing an array of cherry, cola, tobacco and peppery spice flavors. Has enough of a complex tannin structure to pair with lamb chops, or a great grilled salmon steak."
Shalestone 2013 Beyond Rosé (Finger Lakes),Shalestone,Rosé,Beyond,New York,Finger Lakes,US,83,$18.0,Anna Lee C. Iijima,"Ruby in color yet delicate in extract, this blend of Zweigelt and Lemberger is a concession between a red and rosé wine. On the palate, bright red-berry flavors are layered in unusual tones of caramel and spice. The label suggests it can be served both chilled and at room temperature."
Signorello 2005 Estate Cabernet Sauvignon (Napa Valley),Signorello,Cabernet Sauvignon,Estate,California,Napa Valley,US,92,$50.0,,"Shows all the hallmarks of a wine that will improve with mid-term aging. The flavors leap out now, and are all about ripe, crushed blackberries, red and black currants, anise and sweet, smoky cedar. Yet there's a tannic interference that's a little hard and astringent. Decant, if you have to open, but should hit its stride after 2009."
Burt Herngeif 2013 Musk Melon Chardonnay,Burt Herngeif,Musk Melon Chardonnay,,Mars,NA,US,162,$268.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
Robert Weil 2020 Data Join,Robert Weil,Data Join,,Mars,,US,136,$77.00,Dr. Jeffrey Rzeszotarski,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
